Assignment,FunctionCall,MethodCall,If,While,Foreach,State
4,0,0,2,0,0,Good
6,0,0,1,0,0,Good
3,0,0,2,0,0,Good
8,0,0,1,1,0,Good
9,0,0,1,1,0,Good
7,0,0,0,0,1,Good
9,0,0,1,1,0,Good
7,0,0,0,1,0,Bad
7,0,0,0,1,0,Bad
8,0,0,1,1,0,Good
6,0,0,1,0,0,Good
6,0,0,0,1,0,Bad
7,0,0,0,1,0,Good
9,0,0,1,1,0,Bad
4,0,0,2,0,0,Good
7,0,0,0,0,1,Good
6,0,0,0,1,0,Good
9,0,0,1,1,0,Good
9,0,0,1,1,0,Bad
6,0,0,1,0,0,Good
7,0,0,0,1,0,Good
7,0,0,1,1,0,Good
10,1,0,0,1,0,Good
8,1,0,0,1,0,Good
9,0,0,1,1,0,Good
7,1,0,0,1,0,Good
10,1,0,0,1,0,Good
3,0,0,1,0,0,Good
7,0,0,1,0,0,Good
11,0,1,0,1,0,Good
7,0,0,0,1,0,Good
11,0,1,0,1,0,Good
7,0,0,0,0,1,Good
7,0,0,0,0,1,Bad
9,0,0,1,1,0,Good
7,0,0,0,0,1,Bad
6,0,0,1,0,0,Good
11,1,0,0,1,0,Good
7,0,0,0,0,1,Good
8,0,0,1,1,0,Good
10,1,0,0,1,0,Good
7,1,0,0,1,0,Bad
10,1,0,0,1,0,Good
7,0,0,0,1,0,Good
6,1,0,0,1,0,Good
8,0,0,0,1,0,Bad
6,1,0,0,1,0,Good
3,0,0,1,0,0,Good
8,0,0,1,1,0,Good
9,0,0,1,1,0,Good
8,0,0,1,1,0,Good
7,0,0,0,1,0,Good
7,0,0,1,1,0,Bad
3,0,0,1,0,0,Good
10,1,0,0,1,0,Good
8,0,0,1,1,0,Bad
11,0,1,0,1,0,Good
4,0,0,1,0,0,Good
3,0,0,1,0,0,Good
2,0,0,1,0,0,Good
3,0,0,1,0,0,Good
9,0,0,1,1,0,Bad
7,0,0,1,1,0,Bad
6,0,0,0,1,0,Good
8,0,0,1,1,0,Good
3,0,0,1,0,0,Good
8,0,0,0,0,1,Bad
11,0,1,0,1,0,Bad
7,0,0,1,0,0,Good
11,1,0,0,1,0,Good
7,0,0,0,0,1,Bad
7,0,0,0,1,0,Good
12,1,0,0,1,0,Good
7,0,0,0,1,0,Good
11,0,1,0,1,0,Good
7,0,0,1,1,0,Bad
6,0,0,1,0,0,Good
10,0,1,0,1,0,Good
7,1,0,0,1,0,Bad
11,0,1,0,1,0,Good
6,0,0,1,0,0,Good
11,0,1,0,1,0,Bad
7,0,0,0,0,1,Good
7,0,0,0,1,0,Bad
6,1,0,0,1,0,Good
6,1,0,0,1,0,Good
7,0,0,1,0,0,Good
11,0,1,0,1,0,Good
10,0,1,0,1,0,Good
7,0,0,1,0,0,Good
6,0,0,0,0,1,Good
6,0,0,1,0,0,Good
10,0,1,0,1,0,Good
8,0,0,1,1,0,Bad
11,1,0,0,1,0,Bad
3,0,0,1,0,0,Good
10,1,0,0,1,0,Good
8,0,0,1,1,0,Good
8,0,0,1,0,0,Good
8,0,0,1,1,0,Bad
10,0,1,0,1,0,Good
7,0,0,1,0,0,Good
2,0,0,1,0,0,Good
10,0,1,0,1,0,Good
3,0,0,2,0,0,Good
2,0,0,1,0,0,Bad
7,0,0,0,0,1,Bad
9,0,0,1,1,0,Good
7,0,0,0,0,1,Good
6,0,0,1,0,0,Good
7,0,0,0,0,1,Good
3,0,0,1,0,0,Good
11,0,1,0,1,0,Good
3,0,0,1,0,0,Good
8,0,0,1,1,0,Good
11,1,0,0,1,0,Bad
6,0,0,0,0,1,Good
11,0,1,0,1,0,Good
6,0,0,0,1,0,Good
9,0,0,1,1,0,Good
4,0,0,1,0,0,Good
3,0,0,2,0,0,Good
6,1,0,0,1,0,Bad
6,0,0,0,0,1,Good
10,0,1,0,1,0,Good
8,0,0,1,1,0,Good
7,1,0,0,1,0,Good
11,1,0,0,1,0,Good
7,0,0,0,0,1,Bad
7,0,0,0,0,1,Good
11,1,0,0,1,0,Bad
7,1,0,0,1,0,Good
6,0,0,0,0,1,Good
8,0,0,1,1,0,Bad
3,0,0,2,0,0,Good
2,0,0,1,0,0,Bad
12,1,0,0,1,0,Bad
9,0,0,1,1,0,Good
4,0,0,1,0,0,Good
3,0,0,1,0,0,Bad
12,1,0,0,1,0,Good
7,0,0,1,0,0,Good
11,0,1,0,1,0,Good
11,1,0,0,1,0,Bad
7,0,0,0,1,0,Good
8,0,0,1,1,0,Bad
7,1,0,0,1,0,Good
4,0,0,1,0,0,Good
7,0,0,1,0,0,Good
11,1,0,0,1,0,Good
7,0,0,0,1,0,Good
6,0,0,1,0,0,Bad
12,1,0,0,1,0,Good
11,1,0,0,1,0,Good
7,0,0,0,0,1,Good
8,0,0,1,1,0,Good
11,0,1,0,1,0,Good
9,0,0,1,1,0,Good
7,0,0,1,0,0,Good
10,0,1,0,1,0,Bad
10,1,0,0,1,0,Good
7,0,0,1,1,0,Good
7,1,0,0,1,0,Good
8,0,0,1,1,0,Good
9,0,0,1,1,0,Good
12,1,0,0,1,0,Good
9,0,0,0,0,1,Good
8,0,0,1,1,0,Good
4,0,0,2,0,0,Good
3,0,0,1,0,0,Bad
6,0,0,0,1,0,Good
8,0,0,0,0,1,Good
3,0,0,1,0,0,Bad
8,0,0,0,0,1,Good
7,0,0,0,0,1,Bad
2,0,0,1,0,0,Good
7,0,0,1,0,0,Good
8,0,0,0,0,1,Bad
11,1,0,0,1,0,Good
7,0,0,0,1,0,Bad
6,1,0,0,1,0,Good
7,0,0,0,0,1,Good
3,0,0,2,0,0,Good
3,0,0,1,0,0,Bad
3,0,0,1,0,0,Good
11,1,0,0,1,0,Bad
9,0,0,1,1,0,Good
11,1,0,0,1,0,Good
8,0,0,1,1,0,Good
8,0,0,1,1,0,Good
8,0,0,1,1,0,Good
7,0,0,1,1,0,Good
6,0,0,1,0,0,Good
7,0,0,0,1,0,Good
11,1,0,0,1,0,Bad
8,0,0,0,0,1,Good
6,0,0,0,1,0,Bad
8,0,0,1,1,0,Good
8,0,0,1,1,0,Good
10,1,0,0,1,0,Good
7,0,0,0,0,1,Good
11,1,0,0,1,0,Good
11,1,0,0,1,0,Good
7,0,0,1,1,0,Good
3,0,0,2,0,0,Bad
8,0,0,1,1,0,Good
11,1,0,0,1,0,Good
4,0,0,2,0,0,Good
6,0,0,0,1,0,Bad
7,0,0,1,1,0,Bad
9,0,0,1,1,0,Good
8,0,0,0,0,1,Good
12,1,0,0,1,0,Good
7,0,0,1,0,0,Good
8,1,0,1,1,0,Bad
7,1,0,0,1,0,Bad
9,0,0,1,1,0,Good
8,0,0,1,1,0,Good
9,0,0,1,1,0,Bad
12,1,0,0,1,0,Good
10,0,1,0,1,0,Good
11,0,1,0,1,0,Good
11,0,1,0,1,0,Good
4,0,0,1,0,0,Good
8,0,0,1,1,0,Good
11,0,1,0,1,0,Good
11,0,1,0,1,0,Bad
7,0,0,1,1,0,Good
7,0,0,0,0,1,Good
3,0,0,1,0,0,Good
8,0,0,1,1,0,Bad
7,0,0,1,0,0,Good
6,0,0,1,0,0,Good
7,1,0,0,1,0,Bad
7,0,0,0,1,0,Good
8,0,0,1,1,0,Good
11,0,1,0,1,0,Good
7,0,0,1,0,0,Good
4,0,0,1,0,0,Good
4,0,0,1,0,0,Good
6,1,0,0,1,0,Good
7,0,0,1,1,0,Good
6,0,0,1,0,0,Good
4,0,0,1,0,0,Good
9,0,0,1,1,0,Good
10,1,0,0,1,0,Bad
11,1,0,0,1,0,Good
8,0,0,0,0,1,Bad
2,0,0,1,0,0,Good
2,0,0,1,0,0,Good
10,1,1,0,1,0,Good
11,1,0,0,1,0,Good
7,0,0,1,0,0,Good
6,0,0,1,0,0,Good
7,0,0,1,0,0,Good
12,1,0,0,1,0,Good
8,0,0,0,0,1,Good
9,0,0,1,1,0,Good
11,1,0,0,1,0,Good
8,0,0,1,1,0,Good
7,0,0,1,0,0,Good
3,0,0,1,0,0,Good
7,0,0,0,0,1,Good
11,0,1,0,1,0,Good
12,1,0,0,1,0,Good
12,1,0,0,1,0,Good
12,1,0,0,1,0,Bad
3,0,0,1,0,0,Good
3,0,0,1,0,0,Good
10,0,1,0,1,0,Bad
6,1,0,0,1,0,Good
6,0,0,1,0,0,Good
7,0,0,0,1,0,Good
8,0,0,1,1,0,Good
6,0,0,0,1,0,Good
6,0,0,1,0,0,Good
7,0,0,0,1,0,Good
6,0,0,0,0,1,Good
8,0,0,0,0,1,Good
7,0,0,1,1,0,Good
12,1,0,0,1,0,Good
3,0,0,2,0,0,Good
7,0,0,0,1,0,Good
3,0,0,1,0,0,Good
8,0,0,1,1,0,Good
7,0,0,0,1,0,Good
11,1,0,0,1,0,Good
7,0,0,1,0,0,Bad
9,1,0,1,1,0,Bad
10,1,0,0,1,0,Good
3,0,0,1,0,0,Good
12,1,0,0,1,0,Bad
2,0,0,1,0,0,Good
9,0,0,1,1,0,Good
11,1,0,0,1,0,Bad
8,0,0,1,1,0,Good
10,0,1,0,1,0,Good
3,0,0,2,0,0,Good
11,1,0,0,1,0,Bad
7,1,0,0,1,0,Good
9,0,0,1,1,0,Good
11,0,1,0,1,0,Good
7,0,0,0,0,1,Good
11,1,0,0,1,0,Good
11,0,1,0,1,0,Good
3,0,0,1,0,0,Good
3,0,0,2,0,0,Good
7,0,0,1,0,0,Bad
3,0,0,2,0,0,Good
12,1,0,0,1,0,Good
10,0,1,0,1,0,Good
3,0,0,1,0,0,Good
3,0,0,1,0,0,Good
4,0,0,1,0,0,Bad
8,0,0,1,1,0,Good
6,0,0,1,0,0,Good
10,1,0,0,1,0,Good
11,1,0,0,1,0,Good
7,0,0,1,0,0,Good
12,1,0,0,1,0,Bad
6,0,0,0,1,0,Good
10,1,0,0,1,0,Bad
6,0,0,1,0,0,Good
9,0,0,1,1,0,Good
8,0,0,1,1,0,Good
4,0,0,2,0,0,Good
7,0,0,1,0,0,Good
4,0,0,1,0,0,Good
7,0,0,1,1,0,Good
6,0,0,0,1,0,Good
6,0,0,0,0,1,Good
12,1,0,0,1,0,Bad
10,0,1,0,1,0,Good
7,0,0,0,1,0,Bad
12,1,0,0,1,0,Good
6,0,0,0,1,0,Good
11,1,0,0,1,0,Good
11,0,1,0,1,0,Good
8,0,0,1,1,0,Good
11,0,1,0,1,0,Good
8,0,0,1,1,0,Bad
6,1,0,0,1,0,Bad
3,0,0,2,0,0,Good
8,0,0,1,1,0,Good
9,0,0,1,1,0,Bad
11,1,0,0,1,0,Good
11,1,0,0,1,0,Good
12,1,0,0,1,0,Bad
10,0,1,0,1,0,Good
8,0,0,1,1,0,Good
4,0,0,1,0,0,Good
6,0,0,1,0,0,Good
12,1,0,0,1,0,Good
3,0,0,2,0,0,Good
8,0,0,1,1,0,Good
7,0,0,1,0,0,Good
11,0,1,0,1,0,Good
7,0,0,0,1,0,Good
10,0,1,0,1,0,Good
2,0,0,1,0,0,Good
8,0,0,0,0,1,Good
3,0,0,1,0,0,Good
12,1,0,0,1,0,Bad
2,0,0,1,0,0,Good
10,1,0,0,1,0,Good
10,1,0,0,1,0,Bad
11,1,0,0,1,0,Good
11,0,1,0,1,0,Bad
7,0,0,1,0,0,Good
11,1,0,0,1,0,Good
12,1,0,0,1,0,Good
12,1,0,0,1,0,Bad
8,0,0,1,1,0,Good
7,0,0,1,1,0,Good
10,1,0,0,1,0,Good
10,1,0,0,1,0,Good
3,0,0,1,0,0,Good
3,0,0,1,0,0,Good
7,1,0,0,1,0,Good
2,0,0,1,0,0,Bad
7,0,0,1,0,0,Bad
7,0,0,0,0,1,Good
7,0,0,1,0,0,Good
7,0,0,0,0,1,Good
7,0,0,0,0,1,Good
11,0,1,0,1,0,Good
10,1,0,0,1,0,Good
8,0,0,0,0,1,Good
4,0,0,2,0,0,Good
12,1,0,0,1,0,Good
2,0,0,1,0,0,Good
11,1,0,0,1,0,Good
7,1,0,0,1,0,Good
12,1,0,0,1,0,Good
13,1,0,0,1,0,Bad
8,0,0,0,0,1,Good
6,1,0,0,1,0,Good
6,0,0,0,1,0,Good
7,0,0,0,0,1,Good
3,0,0,1,0,0,Good
7,0,0,1,1,0,Good
10,1,0,0,1,0,Good
6,0,0,0,1,0,Good
10,1,0,0,1,0,Good
3,0,0,2,0,0,Good
11,0,1,0,1,0,Good
10,1,0,0,1,0,Good
9,0,0,1,1,0,Good
11,0,1,0,1,0,Good
3,0,0,1,0,0,Good
8,0,0,0,0,1,Good
7,0,0,0,1,0,Bad
4,0,0,1,0,0,Good
8,0,0,1,1,0,Good
7,0,0,0,0,1,Good
10,1,0,0,1,0,Good
11,0,1,0,1,0,Good
11,0,1,0,1,0,Good
10,1,0,0,1,0,Good
6,0,0,0,1,0,Good
10,1,0,0,1,0,Bad
8,0,0,1,1,0,Good
10,0,1,0,1,0,Good
3,0,0,2,0,0,Good
11,0,1,0,1,0,Good
3,0,0,2,0,0,Good
9,0,0,1,1,0,Bad
12,1,0,0,1,0,Bad
7,0,0,1,0,0,Good
3,0,0,1,0,0,Bad
6,0,0,0,0,1,Good
7,0,0,0,1,0,Good
6,0,0,1,0,0,Good
2,0,0,1,0,0,Bad
10,0,0,1,1,0,Good
8,0,0,0,0,1,Good
7,0,0,1,0,0,Good
11,0,1,0,1,0,Good
6,0,0,0,1,0,Good
8,0,0,1,1,0,Good
8,0,0,1,1,0,Good
12,1,0,0,1,0,Good
7,0,0,0,0,1,Bad
3,0,0,2,0,0,Good
8,0,0,1,1,0,Good
6,0,0,1,0,0,Good
7,0,0,1,1,0,Good
8,1,0,1,1,0,Bad
9,0,0,1,1,0,Good
6,0,0,0,1,0,Good
11,1,0,0,1,0,Bad
6,0,0,1,0,0,Good
8,0,0,0,0,1,Bad
10,1,0,0,1,0,Bad
7,0,0,1,1,0,Bad
6,0,0,0,1,0,Good
7,0,0,1,1,0,Bad
8,0,0,0,0,1,Good
7,0,0,0,0,1,Bad
11,1,0,0,1,0,Bad
4,0,0,2,0,0,Good
8,0,0,1,1,0,Bad
8,0,0,1,1,0,Good
8,0,0,0,0,1,Bad
8,0,0,1,1,0,Good
12,1,0,0,1,0,Good
3,0,0,1,0,0,Good
7,0,0,0,1,0,Bad
7,0,0,1,1,0,Good
11,1,0,0,1,0,Good
11,1,0,0,1,0,Good
6,0,0,0,1,0,Good
3,0,0,1,0,0,Good
6,0,0,0,1,0,Bad
7,0,0,1,0,0,Good
10,0,1,0,1,0,Good
7,0,0,1,0,0,Good
6,0,0,0,0,1,Good
8,0,0,1,1,0,Bad
7,1,0,0,1,0,Good
7,0,0,0,0,1,Good
11,1,0,0,1,0,Good
6,0,0,1,0,0,Bad
6,0,0,0,0,1,Good
7,0,0,0,1,0,Good
11,0,1,0,1,0,Bad
10,1,0,0,1,0,Good
7,0,0,0,1,0,Good
11,1,0,0,1,0,Good
7,0,0,1,0,0,Good
6,1,0,0,1,0,Good
8,0,0,0,0,1,Good
7,0,0,0,1,0,Good
8,0,0,1,1,0,Bad
6,0,0,0,1,0,Good
8,0,0,0,0,1,Good
7,1,0,0,1,0,Good
7,0,0,0,1,0,Good
3,0,0,2,0,0,Good
2,0,0,1,0,0,Good
8,0,0,1,1,0,Bad
8,0,0,1,1,0,Bad
9,0,0,1,1,0,Good
9,0,0,1,1,0,Bad
10,1,0,0,1,0,Good
3,0,0,1,0,0,Good
3,0,0,1,0,0,Good
7,0,0,0,0,1,Good
9,0,0,1,1,0,Good
3,0,0,1,0,0,Good
9,0,0,1,1,0,Good
8,0,0,0,1,0,Bad
6,0,0,1,0,0,Good
3,0,0,2,0,0,Good
2,0,0,1,0,0,Good
11,1,0,0,1,0,Good
8,0,0,1,1,0,Good
7,0,0,1,1,0,Good
10,1,0,0,1,0,Bad
9,0,0,1,1,0,Good
8,0,0,1,1,0,Good
6,0,0,1,0,0,Good
8,0,0,1,1,0,Good
10,0,1,0,1,0,Bad
3,0,0,1,0,0,Good
9,0,0,1,1,0,Good
11,1,0,0,1,0,Good
11,0,1,0,1,0,Good
4,0,0,1,0,0,Good
6,2,0,0,1,0,Good
10,1,0,0,1,0,Good
8,0,0,1,1,0,Good
8,0,0,0,1,0,Good
9,0,0,1,1,0,Bad
8,0,0,1,1,0,Good
12,1,0,0,1,0,Good
7,0,0,1,1,0,Good
8,0,0,1,0,0,Good
4,0,0,2,0,0,Good
7,0,0,0,1,0,Good
7,0,0,1,0,0,Good
7,0,0,0,0,1,Bad
8,0,0,1,1,0,Good
10,1,0,0,1,0,Bad
11,1,0,0,1,0,Bad
3,0,0,2,0,0,Good
11,0,1,0,1,0,Good
4,0,0,2,0,0,Good
3,0,0,2,0,0,Good
7,0,0,0,0,1,Good
11,0,1,0,1,0,Good
6,0,0,1,0,0,Good
8,0,0,1,1,0,Good
4,0,0,1,0,0,Good
8,0,0,0,0,1,Bad
10,1,0,0,1,0,Bad
9,0,0,1,1,0,Good
11,1,0,0,1,0,Good
9,0,0,1,1,0,Good
7,0,0,0,0,1,Good
8,0,0,0,0,1,Good
7,0,0,0,1,0,Bad
8,0,0,1,1,0,Bad
9,0,0,1,1,0,Good
7,0,0,0,1,0,Good
10,0,1,0,1,0,Good
8,0,0,1,1,0,Bad
2,0,0,1,0,0,Good
11,1,0,0,1,0,Bad
7,1,0,0,1,0,Good
6,0,0,0,0,1,Good
8,0,0,0,0,1,Bad
6,0,0,0,1,0,Good
8,0,0,0,0,1,Good
6,0,0,0,1,0,Bad
6,0,0,0,0,1,Good
7,0,0,1,0,0,Good
8,0,0,0,0,1,Bad
11,0,1,0,1,0,Good
12,1,0,0,1,0,Good
3,0,0,1,0,0,Good
8,0,0,1,1,0,Bad
8,0,0,1,1,0,Good
8,0,0,0,0,1,Good
11,1,0,0,1,0,Good
11,0,1,0,1,0,Good
11,0,1,0,1,0,Good
3,0,0,1,0,0,Good
7,1,0,0,1,0,Good
4,0,0,2,0,0,Good
10,1,0,0,1,0,Good
10,1,0,0,1,0,Good
7,0,0,0,0,1,Good
7,0,0,0,0,1,Good
11,1,0,0,1,0,Good
8,0,0,1,1,0,Good
8,0,0,1,1,0,Bad
12,1,0,0,1,0,Good
7,1,0,0,1,0,Good
7,0,0,1,1,0,Bad
3,0,0,1,0,0,Good
8,0,0,0,0,1,Good
7,1,0,0,1,0,Bad
7,1,0,0,1,0,Good
7,0,0,1,1,0,Good
8,0,0,0,0,1,Good
11,1,1,0,1,0,Bad
7,0,0,1,0,0,Good
10,1,0,0,1,0,Good
7,0,0,0,0,1,Good
4,0,0,1,0,0,Good
7,0,0,0,0,1,Good
7,0,0,0,0,1,Good
9,0,0,1,1,0,Good
6,1,0,0,1,0,Good
9,0,0,1,1,0,Good
8,0,0,1,1,0,Good
4,0,0,1,0,0,Good
11,1,0,0,1,0,Bad
11,0,1,0,1,0,Good
3,0,0,1,0,0,Good
7,0,0,0,1,0,Good
8,0,0,1,1,0,Good
11,0,1,0,1,0,Good
6,0,0,0,1,0,Good
6,1,0,0,1,0,Bad
7,0,0,1,0,0,Good
10,0,1,0,1,0,Bad
7,0,0,1,0,0,Good
10,1,0,0,1,0,Good
2,0,0,1,0,0,Good
7,0,0,1,0,0,Bad
8,0,0,1,1,0,Good
7,0,0,0,0,1,Good
11,1,0,0,1,0,Good
6,0,0,0,0,1,Good
3,0,0,2,0,0,Good
2,0,0,1,0,0,Good
11,0,1,0,1,0,Good
11,1,0,0,1,0,Bad
8,0,0,0,0,1,Bad
8,0,0,0,0,1,Good
7,0,0,0,0,1,Good
2,0,0,1,0,0,Good
9,0,0,1,1,0,Good
6,0,0,0,1,0,Good
8,0,0,0,0,1,Good
2,0,0,1,0,0,Good
11,0,1,0,1,0,Good
10,0,1,0,1,0,Good
11,1,0,0,1,0,Good
4,0,0,2,0,0,Good
6,0,0,0,1,0,Good
6,0,0,0,1,0,Good
4,0,0,2,0,0,Good
11,1,0,0,1,0,Good
7,0,0,0,1,0,Good
6,0,0,1,0,0,Good
7,0,0,1,1,0,Good
8,0,0,1,1,0,Good
7,1,0,0,1,0,Good
10,0,1,0,1,0,Good
9,0,0,1,1,0,Bad
11,0,1,0,1,0,Good
8,0,0,1,1,0,Good
11,1,0,0,1,0,Bad
8,0,0,1,1,0,Good
8,0,0,1,1,0,Good
10,0,0,1,1,0,Bad
11,0,1,0,1,0,Good
8,0,0,1,1,0,Good
11,1,0,0,1,0,Good
10,1,0,0,1,0,Good
7,0,0,1,0,0,Good
8,1,0,0,1,0,Good
4,0,0,2,0,0,Good
7,0,0,0,1,0,Good
7,0,0,0,1,0,Good
8,0,0,0,0,1,Good
7,0,0,1,0,0,Good
4,0,0,1,0,0,Good
10,1,0,0,1,0,Bad
7,0,0,0,0,1,Good
10,1,0,0,1,0,Good
11,0,1,0,1,0,Good
7,0,0,1,0,0,Good
11,0,1,0,1,0,Good
7,0,0,1,0,0,Good
7,0,0,0,0,1,Good
10,1,0,0,1,0,Good
6,0,0,0,1,0,Bad
6,0,0,0,1,0,Good
6,0,0,0,1,0,Good
10,0,0,1,1,0,Good
7,0,0,0,1,0,Good
4,0,0,1,0,0,Good
6,0,0,1,0,0,Good
8,0,0,1,1,0,Bad
6,0,0,0,1,0,Good
7,0,0,1,0,0,Good
8,0,0,1,1,0,Good
7,0,0,0,0,1,Good
9,0,0,1,1,0,Good
9,0,0,1,1,0,Good
8,0,0,1,1,0,Bad
7,0,0,1,0,0,Good
2,0,0,1,0,0,Good
11,0,1,0,1,0,Bad
11,0,1,0,1,0,Bad
11,0,1,0,1,0,Good
7,0,0,1,1,0,Good
11,1,0,0,1,0,Good
7,0,0,0,1,0,Good
10,0,1,0,1,0,Good
9,0,0,1,1,0,Good
9,0,0,1,1,0,Bad
8,0,0,1,1,0,Good
7,0,0,1,1,0,Good
11,1,0,0,1,0,Bad
2,0,0,1,0,0,Good
7,0,0,0,1,0,Good
12,0,1,0,1,0,Bad
11,2,0,0,1,0,Bad
3,0,0,1,0,0,Good
7,0,0,0,1,0,Bad
11,1,0,0,1,0,Good
9,0,0,1,1,0,Bad
7,1,0,0,1,0,Good
11,1,0,0,1,0,Good
11,0,1,0,1,0,Bad
3,0,0,2,0,0,Good
9,0,0,0,0,1,Bad
7,0,0,0,0,1,Good
7,1,0,0,1,0,Good
3,0,0,1,0,0,Good
4,0,0,2,0,0,Good
7,0,0,1,1,0,Good
11,1,0,0,1,0,Good
10,0,0,1,1,0,Good
8,0,0,0,0,1,Bad
11,0,1,0,1,0,Good
7,1,0,0,1,0,Good
7,0,0,0,0,1,Bad
10,1,0,0,1,0,Bad
7,0,0,1,0,0,Good
8,0,0,0,0,1,Good
11,1,0,0,1,0,Good
7,0,0,1,0,0,Good
10,1,0,0,1,0,Good
3,0,0,1,0,0,Good
8,0,0,1,1,0,Good
10,0,1,0,1,0,Bad
3,0,0,1,0,0,Bad
4,0,0,1,0,0,Good
8,0,0,0,0,1,Good
7,0,0,0,0,1,Good
7,0,0,0,0,1,Good
7,0,0,1,0,0,Good
7,0,0,1,0,0,Good
9,0,0,1,1,0,Good
11,0,1,0,1,0,Good
6,0,0,0,0,1,Good
7,0,0,0,0,1,Good
7,0,0,1,0,0,Good
6,0,0,0,1,0,Good
7,0,0,1,1,0,Good
7,0,0,1,0,0,Good
4,0,0,1,0,0,Good
6,0,0,1,0,0,Bad
8,0,0,1,1,0,Good
3,0,0,1,0,0,Good
11,1,0,0,1,0,Bad
3,0,0,1,0,0,Good
10,1,0,0,1,0,Good
3,0,0,1,0,0,Good
7,0,0,1,0,0,Good
7,0,0,0,0,1,Good
6,0,0,0,0,1,Good
12,1,0,0,1,0,Bad
7,0,0,1,0,0,Good
7,0,0,0,1,0,Good
11,1,0,0,1,0,Good
8,0,0,1,1,0,Good
6,0,0,0,0,1,Good
7,1,0,0,1,0,Good
6,0,0,1,0,0,Good
7,0,0,1,0,0,Good
11,0,1,0,1,0,Bad
8,0,0,1,1,0,Good
7,0,0,0,1,0,Good
7,0,0,1,0,0,Good
6,0,0,1,0,0,Good
7,0,0,0,0,1,Good
12,1,0,0,1,0,Good
7,0,0,0,1,0,Good
7,1,0,0,1,0,Good
2,0,0,1,0,0,Good
7,0,0,1,0,0,Good
11,0,1,0,1,0,Bad
8,0,0,1,1,0,Good
9,0,0,1,1,0,Bad
11,0,1,0,1,0,Good
9,0,0,1,1,0,Good
8,0,0,0,0,1,Bad
4,0,0,2,0,0,Good
12,0,1,0,1,0,Bad
8,0,0,1,1,0,Bad
11,1,0,0,1,0,Good
3,0,0,1,0,0,Good
7,0,0,1,0,0,Good
6,0,0,1,0,0,Good
6,0,0,0,0,1,Good
7,2,0,0,1,0,Bad
11,1,0,0,1,0,Good
8,0,0,0,0,1,Good
7,0,0,1,0,0,Bad
7,0,0,0,0,1,Good
7,0,0,1,1,0,Bad
12,1,0,0,1,0,Good
11,0,1,0,1,0,Good
6,0,0,0,1,0,Good
6,0,0,1,0,0,Good
7,0,0,0,0,1,Good
8,0,0,1,1,0,Good
10,0,1,0,1,0,Good
2,0,0,1,0,0,Good
7,0,0,0,1,0,Good
3,0,0,1,0,0,Good
6,0,0,0,1,0,Good
7,0,0,1,1,0,Good
3,0,0,1,0,0,Good
11,1,0,0,1,0,Good
6,0,0,1,0,0,Good
7,0,0,0,1,0,Good
7,0,0,1,0,0,Good
6,0,0,1,0,0,Good
11,1,0,0,1,0,Bad
10,1,0,0,1,0,Good
8,0,0,0,0,1,Good
7,0,0,0,1,0,Good
9,0,0,1,1,0,Bad
10,0,1,0,1,0,Bad
7,0,0,0,0,1,Good
11,0,1,0,1,0,Good
7,0,0,1,0,0,Good
8,0,0,1,1,0,Good
6,0,0,1,0,0,Good
8,0,0,1,1,0,Good
8,0,0,0,0,1,Bad
7,0,0,0,1,0,Good
8,0,0,1,1,0,Good
7,0,0,1,0,0,Good
11,1,0,0,1,0,Bad
7,0,0,0,0,1,Good
3,0,0,1,0,0,Good
7,0,0,0,1,0,Good
9,0,0,1,1,0,Good
11,1,0,0,1,0,Good
7,0,0,1,1,0,Good
10,1,0,0,1,0,Good
7,0,0,0,1,0,Good
7,1,0,0,0,1,Good
7,1,0,0,1,0,Bad
3,0,0,1,0,0,Good
7,0,0,0,0,1,Bad
8,0,0,0,0,1,Good
7,0,0,1,0,0,Good
9,0,0,1,1,0,Good
7,0,0,0,0,1,Good
7,0,0,1,0,0,Good
11,1,0,0,1,0,Bad
11,1,0,0,1,0,Good
11,0,1,0,1,0,Good
6,0,0,1,0,0,Good
2,0,0,1,0,0,Good
3,0,0,1,0,0,Good
9,0,0,1,1,0,Bad
9,0,0,1,1,0,Bad
11,1,0,0,1,0,Bad
8,0,0,1,1,0,Good
3,0,0,1,0,0,Bad
6,1,0,0,1,0,Good
6,1,0,0,1,0,Good
10,1,0,0,1,0,Good
9,0,0,1,1,0,Good
3,0,0,1,0,0,Good
8,0,0,0,0,1,Good
2,0,0,1,0,0,Good
6,0,0,1,0,0,Good
9,0,0,1,1,0,Good
3,0,0,1,0,0,Good
10,1,0,0,1,0,Good
10,1,0,0,1,0,Good
7,1,0,0,1,0,Bad
11,1,0,0,1,0,Good
11,2,0,0,1,0,Bad
12,0,1,0,1,0,Bad
7,0,0,1,0,0,Good
7,0,0,1,0,0,Good
11,0,1,0,1,0,Good
7,0,0,1,0,0,Bad
3,0,0,1,0,0,Good
12,1,0,0,1,0,Good
7,1,0,0,1,0,Good
8,0,0,1,1,0,Good
8,0,0,1,1,0,Good
10,1,0,0,1,0,Good
10,1,0,0,1,0,Good
11,1,0,0,1,0,Bad
6,0,0,1,0,0,Good
3,0,0,2,0,0,Good
8,0,0,1,1,0,Good
3,0,0,1,0,0,Good
10,1,0,0,1,0,Good
10,0,1,0,1,0,Good
7,0,0,0,0,1,Bad
11,1,0,0,1,0,Good
11,0,1,0,1,0,Good
7,0,0,0,0,1,Good
